book_id,goodreads_book_id,title,authors,year,genre,tag_id,image_url,small_image_url,isbn,isbn13
1,2767052,The Hunger Games,Suzanne Collins,2008.0,contemporary,8055,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,439023483,9780439023480.0
2,3,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",1997.0,fiction,11743,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,439554934,9780439554930.0
3,41865,Twilight,Stephenie Meyer,2005.0,fiction,11743,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg,316015849,9780316015840.0
4,2657,To Kill a Mockingbird,Harper Lee,1960.0,mystery,20939,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680s/2657.jpg,61120081,9780061120080.0
5,4671,The Great Gatsby,F. Scott Fitzgerald,1925.0,romance,26138,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560s/4671.jpg,743273567,9780743273560.0
6,11870085,The Fault in Our Stars,John Green,2012.0,contemporary,8055,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,525478817,9780525478810.0
7,5907,The Hobbit or There and Back Again,J.R.R. Tolkien,1937.0,fiction,11743,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500s/5907.jpg,618260307,9780618260300.0
8,5107,The Catcher in the Rye,J.D. Salinger,1951.0,fiction,11743,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,316769177,9780316769170.0
9,960,Angels & Demons ,Dan Brown,2000.0,contemporary,8055,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735s/960.jpg,1416524797,9781416524790.0
10,1885,Pride and Prejudice,Jane Austen,1813.0,history,14552,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351s/1885.jpg,679783261,9780679783270.0
11,77203,The Kite Runner ,Khaled Hosseini,2003.0,history,14552,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,1594480001,9781594480000.0
12,13335037,Divergent,Veronica Roth,2011.0,romance,26138,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,62024035,9780062024040.0
13,5470,Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",1949.0,ebooks,10210,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,451524934,9780451524940.0
14,7613,Animal Farm: A Fairy Story,George Orwell,1945.0,fantasy,11305,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,452284244,9780452284240.0
15,48855,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,memoir,19733,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,553296981,9780553296980.0
16,2429135,Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",2005.0,thriller,30358,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,307269752,9780307269750.0
17,6148028,Catching Fire,Suzanne Collins,2009.0,fantasy,11305,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,439023491,9780439023500.0
18,5,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,fiction,11743,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,043965548X,9780439655480.0
19,34, The Fellowship of the Ring,J.R.R. Tolkien,1954.0,fiction,11743,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,618346252,9780618346260.0
20,7260188,Mockingjay,Suzanne Collins,2010.0,ebooks,10210,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,439023513,9780439023510.0
21,2,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",2003.0,mystery,20939,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,439358078,9780439358070.0
22,12232938,The Lovely Bones,Alice Sebold,2002.0,paranormal,22973,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,316166685,9780316166680.0
23,15881,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",1998.0,contemporary,8055,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,439064864,9780439064870.0
24,6,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",2000.0,paranormal,22973,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,439139600,9780439139600.0
25,136251,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",2007.0,fantasy,11305,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,545010225,9780545010220.0
26,968,The Da Vinci Code,Dan Brown,2003.0,history,14552,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,307277674,9780307277670.0
27,1,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",2005.0,paranormal,22973,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,439785960,9780439785970.0
28,7624,Lord of the Flies ,William Golding,1954.0,contemporary,8055,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,140283331,9780140283330.0
29,18135,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595.0,classics,7457,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,743477111,9780743477120.0
30,8442457,Gone Girl,Gillian Flynn,2012.0,contemporary,8055,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,297859382,9780297859380.0
31,4667024,The Help,Kathryn Stockett,2009.0,fiction,11743,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,399155341,9780399155340.0
