goodreads_book_id,tag_id,count
1,22973,673
2,20939,447
3,11743,13239
5,11743,10656
6,22973,702
8,7457,5
10,22973,5
11,11743,7012
13,26816,89
21,21773,1845
24,21773,702
25,19733,354
26,11743,22
27,19733,180
28,11743,48
29,14552,151
30,7457,44
33,7457,3904
34,11743,7187
36,2938,31
50,8055,76
67,10210,13
93,11743,858
98,21773,118
105,26816,35
106,25647,50
112,26816,73
117,10210,29
119,11743,10
122,11743,1102
231,11743,536
249,7457,226
250,4605,6
264,7457,2632
275,11743,656
291,26138,22
295,14552,54
304,10210,16
320,7457,5578
343,11743,2637
348,31155,12
350,10210,44
353,26138,11
355,26816,15
357,7457,26
359,20939,36
360,10210,75
365,22973,21
378,7457,1334
386,19733,280
400,4605,5
415,11305,20
424,31155,11
428,7457,123
431,30358,32
432,8055,32
446,7457,4
447,11743,284
449,7457,5
456,8517,7
475,26816,222
597,21773,163
599,20673,162
621,24526,2
629,8055,47
647,14552,45
656,26138,163
662,11743,4365
665,24526,37
667,26138,27
668,10210,9
676,11743,10
698,8055,50
703,8055,42
706,11743,141
760,7457,143
771,23471,56
816,30358,222
822,26816,28
823,30358,11
825,30358,81
827,11743,1015
830,26816,125
840,21773,125
865,8055,520
870,26138,9
880,14552,178
890,7457,19214
900,5951,4
902,30358,48
903,11743,280
930,11743,8127
952,25647,9
960,8055,532
968,14552,324
976,26138,37
998,5951,513
1005,10210,20
1032,14552,7
1052,5951,496
1067,4605,104
1078,11743,45
1097,8055,18
1103,8055,69
1110,8055,21
1171,10210,8
1191,21773,9
1192,10210,4
1202,11743,41
1232,11305,796
1241,4605,282
1274,7457,13
1295,7457,224
1301,21773,201
1303,14552,157
1305,11305,39
1307,10210,8
1319,23471,62
1362,21773,160
1371,11305,546
1375,23471,14
1381,7457,14238
1420,10210,91
1426,24526,5
1427,26138,72
1428,7457,15
1430,28384,53
1431,20939,20
1519,14552,49
1524,11743,59
1540,23831,79
1554,23471,58
1591,23471,15
1617,14821,75
1618,8517,31
1622,11743,1815
1624,11743,24
